date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:58	174/174	---MCZ	200	added ('OK')	text/plain	etag:W/%22677fdcfd-1b4%22	https://dhyon.crevado.com/robots.txt		(from )
22:55:59	13520/13520	---MCZ	200	added ('OK')	text/html	etag:W/%22391d1a5a4a43f743d2e6bba0a0434dc9%22	https://dhyon.crevado.com/	C:/My%20Web%20Sites/myportifoo/dhyon.crevado.com/index.html	(from )
22:55:59	6502/6502	---M--	200	added ('OK')	image/png	etag:%2259d495bcaf3f48844e25fa40e35ad6f7%22	https://cdn.crevado.com/images/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-57x57.png	(from https://dhyon.crevado.com/)
22:55:59	6959/6959	---M--	200	added ('OK')	image/png	etag:%221329a322a0ba48592005f835f74009b0%22	https://cdn.crevado.com/images/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-60x60.png	(from https://dhyon.crevado.com/)
22:56:00	8682/8682	---M--	200	added ('OK')	image/png	etag:%221614bb0e799f2b2375a9db7c8a49d4f0%22	https://cdn.crevado.com/images/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-72x72.png	(from https://dhyon.crevado.com/)
22:56:00	9295/9295	---M--	200	added ('OK')	image/png	etag:%22ebab89dd5c6b6784e2aca4e7f41914a8%22	https://cdn.crevado.com/images/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-76x76.png	(from https://dhyon.crevado.com/)
22:56:00	15569/15569	---M--	200	added ('OK')	image/png	etag:%22b6af44e4fdffabd13607187c218bc5cb%22	https://cdn.crevado.com/images/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-114x114.png	(from https://dhyon.crevado.com/)
22:56:00	16583/16583	---M--	200	added ('OK')	image/png	etag:%221bffcc4a0e27401fa33ba9344d96e7b5%22	https://cdn.crevado.com/images/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-120x120.png	(from https://dhyon.crevado.com/)
22:56:01	21181/21181	---M--	200	added ('OK')	image/png	etag:%2205482166a78c8195e327ec5760bfb2fd%22	https://cdn.crevado.com/images/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-144x144.png	(from https://dhyon.crevado.com/)
22:56:01	22834/22834	---M--	200	added ('OK')	image/png	etag:%228630e7fa9a39ed4a5b301329c657a2ab%22	https://cdn.crevado.com/images/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-152x152.png	(from https://dhyon.crevado.com/)
22:56:01	28701/28701	---M--	200	added ('OK')	image/png	etag:%22a342fe74225b450322cadcce3e4e57c9%22	https://cdn.crevado.com/images/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/apple-icon-180x180.png	(from https://dhyon.crevado.com/)
22:56:01	28491/28491	---M--	200	added ('OK')	image/png	etag:%2284f90aa4e9dcde2cdefb2eb6b1ae6e8d%22	https://cdn.crevado.com/images/favicons/android-icon-192x192.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/android-icon-192x192.png	(from https://dhyon.crevado.com/)
22:56:01	3280/3280	---M--	200	added ('OK')	image/png	etag:%22f101910a824440591ad57c3a6d9303ff%22	https://cdn.crevado.com/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/favicon-32x32.png	(from https://dhyon.crevado.com/)
22:56:02	12628/12628	---M--	200	added ('OK')	image/png	etag:%22e7018809452e1a5dc5dc3e341e284c92%22	https://cdn.crevado.com/images/favicons/favicon-96x96.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/favicon-96x96.png	(from https://dhyon.crevado.com/)
22:56:02	1822/1822	---M--	200	added ('OK')	image/png	etag:%22a7994f121399f067870d6b94d179e7aa%22	https://cdn.crevado.com/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/images/favicons/favicon-16x16.png	(from https://dhyon.crevado.com/)
22:56:02	376040/376040	---MCZ	200	added ('OK')	text/css	etag:W/%22863c9b7486941bce6cd041d681a8b788%22	https://cdn.crevado.com/assets/theme_folio_light-691ec82d1bec7095b1e70cce4d7ac7adcacecd8db325bf43b2bc608d35111173.css	C:/My%20Web%20Sites/myportifoo/cdn.crevado.com/assets/theme_folio_light-691ec82d1bec7095b1e70cce4d7ac7adcacecd8db325bf43b2bc608d35111173.css	(from https://dhyon.crevado.com/)
